article_id,symbol,published_at_utc,source,headline,body_or_summary,sentiment_score,relevance_score,novelty_score,event_type,language,ingested_at,provider,provider_article_id,provider_url
alpha_vantage:https://seekingalpha.com/news/4608897-outgoing-apple-ceo-cook-has-constructive-talks-about-siri-ai-in-europe-report,AAPL,2026-07-01T12:28:02Z,Seeking Alpha,Outgoing Apple CEO Cook has 'constructive' talks about Siri AI in Europe: report (AAPL:NASDAQ),"Apple CEO Tim Cook recently held ""constructive"" virtual talks with EU tech chief Henna Virkkunen regarding the potential launch of Apple's new Siri AI in Europe. The discussions focused on how EU regulations, particularly the Digital Markets Act, might impact the AI's rollout and what risks Apple faces concerning competition fines. Siri AI aims to compete with existing chatbots like ChatGPT and Gemini, but its European availability could be affected by these regulatory hurdles.",0.179573,,,,en,2026-07-01T21:35:41.083410Z,alpha_vantage,https://seekingalpha.com/news/4608897-outgoing-apple-ceo-cook-has-constructive-talks-about-siri-ai-in-europe-report,https://seekingalpha.com/news/4608897-outgoing-apple-ceo-cook-has-constructive-talks-about-siri-ai-in-europe-report
alpha_vantage:https://www.ad-hoc-news.de/boerse/news/ueberblick/invesco-qqq-trust-from-invesco-ltd-tech-heavy-etf-quietly-anchors-many/69667261,AAPL,2026-07-01T12:06:41Z,AD HOC NEWS,Invesco QQQ Trust from Invesco Ltd. - tech-heavy ETF quietly anchors many US portfolios,"The Invesco QQQ Trust (QQQ) tracks the Nasdaq-100 Index, offering investors concentrated exposure to large-cap growth stocks, primarily in technology and communication services. It's a key product for Invesco Ltd. and a popular choice for retail investors seeking growth, despite its sector concentration risks. QQQ acts as an ""accessory"" ETF in many US portfolios, often used to overweight technology alongside broader market funds.",0.314262,,,,en,2026-07-01T21:35:41.083417Z,alpha_vantage,https://www.ad-hoc-news.de/boerse/news/ueberblick/invesco-qqq-trust-from-invesco-ltd-tech-heavy-etf-quietly-anchors-many/69667261,https://www.ad-hoc-news.de/boerse/news/ueberblick/invesco-qqq-trust-from-invesco-ltd-tech-heavy-etf-quietly-anchors-many/69667261
alpha_vantage:https://www.benzinga.com/trading-ideas/long-ideas/26/07/60212456/apple-micron-palo-alto-health-care-stock-cnbc-final-trades,AAPL,2026-07-01T11:38:16Z,Benzinga,"Micron, Palo Alto And Apple: CNBC’s ‘Final Trades’ - Micron Technology (NASDAQ:MU)","CNBC's ""Final Trades"" featured recommendations for several prominent stocks. Jim Lebenthal picked Micron Technology, Jason Snipe selected Palo Alto Networks, Joshua Brown suggested Apple, and Joseph M. Terranova recommended Amgen. Analysts have recently maintained or raised price targets for these companies, reflecting positive sentiment in the market.",0.328704,,,,en,2026-07-01T21:35:41.083424Z,alpha_vantage,https://www.benzinga.com/trading-ideas/long-ideas/26/07/60212456/apple-micron-palo-alto-health-care-stock-cnbc-final-trades,https://www.benzinga.com/trading-ideas/long-ideas/26/07/60212456/apple-micron-palo-alto-health-care-stock-cnbc-final-trades
alpha_vantage:https://www.marketbeat.com/instant-alerts/filing-peregrine-capital-management-llc-has-1490-million-stock-holdings-in-synaptics-incorporated-syna-2026-07-01/,AAPL,2026-07-01T10:39:44Z,MarketBeat,Peregrine Capital Management LLC Has $14.90 Million Stock Holdings in Synaptics Incorporated $SYNA,"Peregrine Capital Management LLC recently reduced its stake in Synaptics Incorporated by 12.7%, selling 31,025 shares to hold 212,790 shares valued at approximately $14.9 million. Despite this, Synaptics shares rose 5.8% and the company beat its recent earnings expectations, reporting $1.09 EPS on revenue of $294.2 million. The stock currently holds an average ""Hold"" rating from analysts with a target price of $131.00.",0.26145,,,,en,2026-07-01T21:35:41.083432Z,alpha_vantage,https://www.marketbeat.com/instant-alerts/filing-peregrine-capital-management-llc-has-1490-million-stock-holdings-in-synaptics-incorporated-syna-2026-07-01/,https://www.marketbeat.com/instant-alerts/filing-peregrine-capital-management-llc-has-1490-million-stock-holdings-in-synaptics-incorporated-syna-2026-07-01/
alpha_vantage:https://www.marketbeat.com/instant-alerts/filing-trust-co-of-oklahoma-raises-position-in-apple-inc-aapl-2026-07-01/,AAPL,2026-07-01T10:20:00Z,MarketBeat,Trust Co. of Oklahoma Raises Position in Apple Inc. $AAPL,"Trust Co. of Oklahoma increased its stake in Apple Inc. by 5.1% in the first quarter, making it their third-largest holding. Apple continues to receive a ""Moderate Buy"" consensus rating from Wall Street analysts, with an average price target of $314.85. The company recently reported strong quarterly results, increased its dividend, and is navigating various market and regulatory challenges.",0.39732,,,,en,2026-07-01T21:35:41.083439Z,alpha_vantage,https://www.marketbeat.com/instant-alerts/filing-trust-co-of-oklahoma-raises-position-in-apple-inc-aapl-2026-07-01/,https://www.marketbeat.com/instant-alerts/filing-trust-co-of-oklahoma-raises-position-in-apple-inc-aapl-2026-07-01/
alpha_vantage:https://www.morningstar.com/funds/how-micron-became-25-value-etf,AAPL,2026-07-01T10:10:19Z,Morningstar,How Micron Became 25% of a Value ETF,"The iShares MSCI USA Value Factor ETF (VLUE) has seen Micron Technology (MU) grow to nearly 25% of its portfolio due to specific methodology rules. Despite being a value ETF, VLUE's rules, which include pegging sector weightings to the broader market and using a forward-looking value metric, allowed Micron, a high-growth stock, to dominate its holdings. This concentration presents risks, including dependency on Micron's performance and potential tax implications if the ETF exceeds diversification limits.",0.052593,,,,en,2026-07-01T21:35:41.083446Z,alpha_vantage,https://www.morningstar.com/funds/how-micron-became-25-value-etf,https://www.morningstar.com/funds/how-micron-became-25-value-etf
alpha_vantage:https://www.404media.co/apple-hide-my-email-vulnerability-reveals-peoples-real-email-addresses/,AAPL,2026-07-01T10:07:01Z,404 Media,Apple ‘Hide My Email’ Vulnerability Reveals Peoples’ Real Email Addresses,"A vulnerability in Apple's ""Hide My Email"" feature, designed to mask users' real email addresses, has been discovered to reveal them. The issue, reported by EasyOptOuts co-founder Tyler Murphy over a year ago, allows attackers to bypass the hiding mechanism. Despite Apple's previous claims of having addressed it, the problem persists, raising privacy concerns for users relying on the tool for security against spam and data breaches.",-0.406099,,,,en,2026-07-01T21:35:41.083453Z,alpha_vantage,https://www.404media.co/apple-hide-my-email-vulnerability-reveals-peoples-real-email-addresses/,https://www.404media.co/apple-hide-my-email-vulnerability-reveals-peoples-real-email-addresses/
alpha_vantage:https://www.marketbeat.com/instant-alerts/filing-leeward-financial-partners-llc-sells-3657-shares-of-alphabet-inc-googl-2026-07-01/,AAPL,2026-07-01T08:55:48Z,MarketBeat,"Leeward Financial Partners LLC Sells 3,657 Shares of Alphabet Inc. $GOOGL","Leeward Financial Partners LLC reduced its stake in Alphabet Inc. (NASDAQ:GOOGL) by 9.9% in the first quarter, selling 3,657 shares. The firm now holds 33,421 shares valued at $9.61 million, making Alphabet its 13th largest holding. The article also details recent analyst ratings, news impacting Alphabet stock, and insider transactions.",0.125657,,,,en,2026-07-01T21:35:41.083460Z,alpha_vantage,https://www.marketbeat.com/instant-alerts/filing-leeward-financial-partners-llc-sells-3657-shares-of-alphabet-inc-googl-2026-07-01/,https://www.marketbeat.com/instant-alerts/filing-leeward-financial-partners-llc-sells-3657-shares-of-alphabet-inc-googl-2026-07-01/
alpha_vantage:https://www.marketbeat.com/instant-alerts/filing-op-asset-management-ltd-makes-new-74097-million-investment-in-apple-inc-aapl-2026-07-01/,AAPL,2026-07-01T08:29:01Z,MarketBeat,OP Asset Management Ltd Makes New $740.97 Million Investment in Apple Inc. $AAPL,"OP Asset Management Ltd has made a significant new investment in Apple Inc. worth $740.97 million, acquiring 2.92 million shares, which now represents 7.5% of their portfolio and makes Apple their second-largest holding. This investment follows Apple's stronger-than-expected quarterly results and an increased dividend, amidst mixed but generally positive news including a Supreme Court decision and speculation around Apple's AI strategy. The article also details other institutional investor activities, Apple's financial performance metrics, and a roundup of recent news and analyst ratings on the stock.",0.335928,,,,en,2026-07-01T21:35:41.083468Z,alpha_vantage,https://www.marketbeat.com/instant-alerts/filing-op-asset-management-ltd-makes-new-74097-million-investment-in-apple-inc-aapl-2026-07-01/,https://www.marketbeat.com/instant-alerts/filing-op-asset-management-ltd-makes-new-74097-million-investment-in-apple-inc-aapl-2026-07-01/
alpha_vantage:https://www.marketbeat.com/instant-alerts/filing-the-walt-disney-company-dis-shares-sold-by-global-trust-asset-management-llc-2026-07-01/,AAPL,2026-07-01T08:19:27Z,MarketBeat,The Walt Disney Company $DIS Shares Sold by Global Trust Asset Management LLC,"Global Trust Asset Management LLC significantly reduced its stake in The Walt Disney Company by 76.7% in Q1, selling 5,696 shares and retaining 1,732 shares valued at $167,000. Despite this sell-off, institutional ownership in Disney remains high at 65.71%, and Wall Street analysts continue to hold a ""Moderate Buy"" consensus rating with an average price target of $133.60. Recent news includes JPMorgan raising its target to $140 and several positive catalysts for Disney parks and content, though a $50 million streaming antitrust settlement and a European patent injunction introduce some negative sentiment.",0.09686,,,,en,2026-07-01T21:35:41.083475Z,alpha_vantage,https://www.marketbeat.com/instant-alerts/filing-the-walt-disney-company-dis-shares-sold-by-global-trust-asset-management-llc-2026-07-01/,https://www.marketbeat.com/instant-alerts/filing-the-walt-disney-company-dis-shares-sold-by-global-trust-asset-management-llc-2026-07-01/
alpha_vantage:https://www.benzinga.com/etfs/sector-etfs/26/07/60208442/apple-ceo-tim-cook-flags-extreme-shortage-while-dram-etf-smashes-25-billion-surging-over-170-since-listing,AAPL,2026-07-01T07:43:59Z,Benzinga,"Apple CEO Tim Cook Flags 'Extreme Shortage' While DRAM ETF Smashes $25 Billion, Surging Over 170% Since L","Apple CEO Tim Cook has highlighted an ""extreme shortage"" in the hardware sector, driven by unprecedented demand fueled by the AI revolution. Meanwhile, the DRAM ETF (BATS: DRAM) has seen a historic rise since its launch on April 2, 2026, amassing over $25 billion and surging more than 170%, primarily benefiting memory and semiconductor companies due to this supply crunch. This disparity is causing increased input costs for tech giants like Apple and Tesla, while memory chip makers experience significant profits.",0.263765,,,,en,2026-07-01T21:35:41.083482Z,alpha_vantage,https://www.benzinga.com/etfs/sector-etfs/26/07/60208442/apple-ceo-tim-cook-flags-extreme-shortage-while-dram-etf-smashes-25-billion-surging-over-170-since-listing,https://www.benzinga.com/etfs/sector-etfs/26/07/60208442/apple-ceo-tim-cook-flags-extreme-shortage-while-dram-etf-smashes-25-billion-surging-over-170-since-listing
alpha_vantage:https://www.investing.com/news/earnings/general-mills-stock-rises-4-on-earnings-beat-despite-weak-guidance-93CH-4770138,AAPL,2026-07-01T07:23:00Z,Investing.com,General Mills stock rises 4% on earnings beat despite weak guidance,"General Mills (NYSE:GIS) reported fourth-quarter results exceeding analyst expectations, with adjusted EPS of $0.95 and revenue of $4.6 billion. Despite this earnings beat, the company's fiscal 2027 outlook for adjusted EPS ($3.00-$3.20) fell below consensus estimates of $3.41, leading shares to rise 4.05% in pre-market trading. General Mills plans to generate $3 billion in cumulative cost savings by fiscal 2030, with a significant portion expected in fiscal 2027, driven by productivity programs and global transformation initiatives.",0.264141,,,,en,2026-07-01T21:35:41.083489Z,alpha_vantage,https://www.investing.com/news/earnings/general-mills-stock-rises-4-on-earnings-beat-despite-weak-guidance-93CH-4770138,https://www.investing.com/news/earnings/general-mills-stock-rises-4-on-earnings-beat-despite-weak-guidance-93CH-4770138
alpha_vantage:https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-shares-sold-by-blue-trust-inc-2026-07-01/,AAPL,2026-07-01T07:17:58Z,MarketBeat,Apple Inc. $AAPL Shares Sold by Blue Trust Inc.,"Blue Trust Inc. reduced its stake in Apple (AAPL) by 1.8% in the first quarter, selling 3,129 shares and holding 170,335 shares valued at $43.2 million. Wall Street maintains a ""Moderate Buy"" consensus for Apple, despite mixed sentiment regarding AI implementation, supply chain issues, and antitrust concerns. The article also highlights recent insider sales by Apple executives and the company's latest dividend increase.",0.014293,,,,en,2026-07-01T21:35:41.083496Z,alpha_vantage,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-shares-sold-by-blue-trust-inc-2026-07-01/,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-shares-sold-by-blue-trust-inc-2026-07-01/
alpha_vantage:https://ca.investing.com/news/stock-market-news/form-4-dyne-therapeuticsinc-for-30-june-93CH-4715028,AAPL,2026-07-01T07:10:23Z,Investing.com Canada,Form 4 Dyne Therapeutics Inc For: 30 June By Investing.com,"This article from Investing.com reports on a Form 4 filing for Dyne Therapeutics Inc. for the period ending June 30. It includes the company's stock symbol DYN, which saw a 4.47% increase, and is dated June 30, 2026, at 07:14 p.m.",0.128269,,,,en,2026-07-01T21:35:41.083503Z,alpha_vantage,https://ca.investing.com/news/stock-market-news/form-4-dyne-therapeuticsinc-for-30-june-93CH-4715028,https://ca.investing.com/news/stock-market-news/form-4-dyne-therapeuticsinc-for-30-june-93CH-4715028
alpha_vantage:https://ca.investing.com/news/stock-market-news/form-4-ttm-technologies-inc-for-30-june-93CH-4714685,AAPL,2026-07-01T04:40:13Z,Investing.com Canada,Form 4 TTM Technologies Inc For: 30 June By Investing.com,"This article announces the filing of Form 4 for TTM Technologies Inc. for the period ending June 30th. It is a brief public notice provided by Investing.com, a financial markets platform. The core content is the announcement itself, with additional market data and news headlines appearing as supplementary information around it.",0.142338,,,,en,2026-07-01T21:35:41.083510Z,alpha_vantage,https://ca.investing.com/news/stock-market-news/form-4-ttm-technologies-inc-for-30-june-93CH-4714685,https://ca.investing.com/news/stock-market-news/form-4-ttm-technologies-inc-for-30-june-93CH-4714685
